"Date","y1","y2","y3","y4","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15","y16","y17","y18","y19","y20","y21","y22","y23","y24","y25","y26","y27","y28","y29","y30","y31","y32","y33","y34","y35","y36","y37","y38","y39","y40","y41","y42","y43","y44","y45","y46","y47","y48","y49","y50","y51","y52","y53","y54","y55","y56","y57","y58","y59","y60","y61","y62","y63","y64","y65","y66","y67","y68","y69","y70","y71","y72","y73","y74","y75","y76","y77","y78","y79","y80","y81","y82","y83","y84","y85","y86","y87","y88","y89","y90","y91","y92","y93","y94","y95","y96","y97","y98","y99","y100","y101","y102","y103","y104","y105","y106","y107","y108","y109","y110","y111","y112","y113","y114","y115","y116","y117","y118","y119","y120"
19610630,0.020940323,0.022156446,0.022943474,0.024006267,0.024528412,0.024570018,0.02612372,0.027172251,0.027987774,0.028663966,0.029238144,0.029716626,0.030121496,0.029389701,0.027647039,0.029089071,0.030154943,0.030774379,0.031328612,0.03140759,0.031038888,0.032022896,0.032530117,0.032559179,0.032585915,0.032458066,0.032177995,0.033649782,0.03428549,0.03408723,0.033901761,0.033695781,0.033468015,0.03422994,0.03480004,0.035147811,0.035476784,0.035183829,0.034257382,0.035504851,0.036278704,0.036510605,0.036731721,0.036440911,0.03562282,0.036462276,0.036702729,0.036303243,0.035920062,0.035552209,0.035198781,0.03529323,0.035405599,0.035513806,0.035618078,0.035718626,0.035815646,0.036355299,0.036515747,0.036294212,0.036079941,0.036555744,0.037756555,0.038256532,0.038333994,0.038409109,0.038481982,0.038552711,0.03862139,0.038688107,0.038752945,0.038815982,0.038877291,0.038936944,0.038995006,0.038939582,0.038816712,0.038696993,0.038580305,0.038466534,0.038355572,0.038247317,0.038194173,0.038194173,0.038194173,0.038194173,0.038194173,0.038194173,0.038194173,0.038194173,0.038194173,0.038194173,0.038194173,0.038194173,0.038194173,0.038194173,0.038194173,0.038194173,0.038194173,0.038194173,0.038194173,0.038194173,0.038194173,0.038194173,0.038194173,0.038194173,0.038194173,0.038194173,0.038194173,0.038194173,0.038194173,0.038194173,0.038194173,0.038194173,0.038194173,0.038194173,0.038194173,0.038194173,0.038194173,0.038194173
19610731,0.01676109,0.021272456,0.022700209,0.022347027,0.023168365,0.025479079,0.02625094,0.026829835,0.027537426,0.028310539,0.028943086,0.028903976,0.0278104,0.026339533,0.028387925,0.029520519,0.029836678,0.030117708,0.029713105,0.028745342,0.030819354,0.031750915,0.031642643,0.031543394,0.031121832,0.03042515,0.032474278,0.03351185,0.033598835,0.033680021,0.033317587,0.032566498,0.034703277,0.035829833,0.03598505,0.036131644,0.036249917,0.036342732,0.036430786,0.036552556,0.036704403,0.036849018,0.036499629,0.035704916,0.036613466,0.036911315,0.036610498,0.036322215,0.036045699,0.035780243,0.035849049,0.035924358,0.035996825,0.036066608,0.036133853,0.036198697,0.036875644,0.037034494,0.036700351,0.036377347,0.036747669,0.037756613,0.038414294,0.03854732,0.038676253,0.038801279,0.038922572,0.039040298,0.039154612,0.03926566,0.039373579,0.039478501,0.039580548,0.039679838,0.039760152,0.039812507,0.039863501,0.039913189,0.039961618,0.040008836,0.040054889,0.040077132,0.040077132,0.040077132,0.040077132,0.040077132,0.040077132,0.040077132,0.040077132,0.040077132,0.040077132,0.040077132,0.040077132,0.040077132,0.040077132,0.040077132,0.040077132,0.040077132,0.040077132,0.040077132,0.040077132,0.040077132,0.040077132,0.040077132,0.040077132,0.040077132,0.040077132,0.040077132,0.040077132,0.040077132,0.040077132,0.040077132,0.040077132,0.040077132,0.040077132,0.040077132,0.040077132,0.040077132,0.040077132,0.040077132
19610831,0.020579169,0.022232035,0.02379474,0.023539432,0.026263509,0.02706569,0.028252809,0.028949523,0.02934945,0.029669392,0.029278112,0.028458286,0.027764587,0.027803285,0.027848885,0.027888786,0.03012953,0.031603697,0.031684476,0.032277694,0.032555553,0.032567322,0.032578067,0.032526783,0.032424551,0.033548071,0.034226101,0.034506388,0.034767344,0.034711646,0.034387899,0.035912044,0.036789972,0.03707911,0.037351726,0.03623354,0.035480524,0.036772972,0.037492711,0.037676838,0.037851984,0.037992112,0.038101282,0.03799271,0.037958596,0.037993755,0.038027418,0.038059679,0.038090623,0.038359778,0.038623169,0.03887643,0.039120134,0.039354811,0.039580955,0.038120138,0.037225156,0.036866409,0.036519822,0.036812977,0.037676092,0.038414619,0.038544846,0.038671003,0.038793278,0.038911848,0.039026879,0.039138526,0.039246937,0.039352251,0.039454598,0.039554102,0.03965088,0.039736903,0.039771302,0.039804796,0.03983742,0.039869207,0.039900189,0.039930397,0.039944748,0.039944748,0.039944748,0.039944748,0.039944748,0.039944748,0.039944748,0.039944748,0.039944748,0.039944748,0.039944748,0.039944748,0.039944748,0.039944748,0.039944748,0.039944748,0.039944748,0.039944748,0.039944748,0.039944748,0.039944748,0.039944748,0.039944748,0.039944748,0.039944748,0.039944748,0.039944748,0.039944748,0.039944748,0.039944748,0.039944748,0.039944748,0.039944748,0.039944748,0.039944748,0.039944748,0.039944748,0.039944748,0.039944748,0.039944748
19610929,0.020634733,0.021774734,0.022717576,0.024461172,0.02605507,0.027198325,0.028056674,0.028629793,0.029075552,0.029416317,0.029681178,0.029901895,0.030088655,0.02909008,0.028254877,0.029894478,0.030251483,0.029379962,0.031574193,0.03263044,0.032377121,0.032146832,0.031697798,0.031021858,0.032833354,0.033797542,0.033736648,0.033680104,0.033316251,0.032629139,0.034174189,0.035278736,0.03577953,0.036250866,0.035947528,0.036161786,0.036364462,0.03648488,0.036518544,0.036550525,0.036458935,0.036234117,0.036610336,0.036779003,0.03668345,0.036592051,0.036504541,0.036420677,0.036732082,0.037055542,0.037366317,0.037665139,0.037952685,0.038229581,0.036941462,0.036037203,0.035658738,0.035293323,0.035432591,0.036126423,0.036797506,0.037016203,0.037151975,0.037283504,0.037410986,0.037534605,0.037654534,0.037770936,0.037883963,0.037993761,0.038100467,0.038204208,0.038305107,0.038282454,0.038239037,0.038196763,0.038155586,0.038115466,0.038076361,0.038055805,0.038055805,0.038055805,0.038055805,0.038055805,0.038055805,0.038055805,0.038055805,0.038055805,0.038055805,0.038055805,0.038055805,0.038055805,0.038055805,0.038055805,0.038055805,0.038055805,0.038055805,0.038055805,0.038055805,0.038055805,0.038055805,0.038055805,0.038055805,0.038055805,0.038055805,0.038055805,0.038055805,0.038055805,0.038055805,0.038055805,0.038055805,0.038055805,0.038055805,0.038055805,0.038055805,0.038055805,0.038055805,0.038055805,0.038055805,0.038055805
19611031,0.018843564,0.021076604,0.023186599,0.024073407,0.025750085,0.026441788,0.027469172,0.02823971,0.028792592,0.029200986,0.029535128,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606,0.029672606
19611130,0.023216791,0.024619677,0.025824163,0.026459676,0.027184649,0.028385329,0.028908104,0.029269696,0.02952858,0.029735687,0.030033044,0.030387349,0.030687145,0.030944113,0.030248762,0.028751663,0.03097392,0.031990721,0.031896067,0.031810878,0.031982637,0.03238403,0.03275052,0.033052324,0.033296137,0.033521196,0.032831742,0.031297603,0.03383353,0.03516279,0.035291357,0.035411889,0.035608365,0.035876712,0.036129726,0.036211506,0.036130964,0.036054661,0.03546154,0.034373851,0.035974358,0.036543267,0.036069258,0.035616794,0.03518444,0.034770884,0.0350402,0.035311588,0.0355719,0.035821799,0.036061898,0.036292762,0.037424735,0.037708747,0.03714684,0.036605001,0.036500505,0.036824099,0.037445078,0.037790831,0.037860468,0.037927859,0.03799311,0.038056322,0.038117589,0.038177,0.038234637,0.038290579,0.038344899,0.038397667,0.038448949,0.038508531,0.038576384,0.038642402,0.038706661,0.038769228,0.03883017,0.038860526,0.038860526,0.038860526,0.038860526,0.038860526,0.038860526,0.038860526,0.038860526,0.038860526,0.038860526,0.038860526,0.038860526,0.038860526,0.038860526,0.038860526,0.038860526,0.038860526,0.038860526,0.038860526,0.038860526,0.038860526,0.038860526,0.038860526,0.038860526,0.038860526,0.038860526,0.038860526,0.038860526,0.038860526,0.038860526,0.038860526,0.038860526,0.038860526,0.038860526,0.038860526,0.038860526,0.038860526,0.038860526,0.038860526,0.038860526,0.038860526,0.038860526,0.038860526
19611229,0.025214756,0.026432567,0.027049749,0.02826935,0.028977727,0.029619703,0.030344642,0.030613053,0.030821818,0.03108126,0.031387528,0.031642752,0.03185871,0.031099141,0.029318686,0.031423821,0.032763219,0.032816587,0.032864338,0.032303532,0.03106428,0.032264364,0.033236876,0.033834679,0.034384658,0.034172176,0.03309282,0.034566467,0.035413972,0.035448883,0.035481543,0.035097477,0.034224903,0.035586941,0.036592705,0.037077838,0.037536747,0.037473092,0.036794624,0.037013378,0.037123098,0.037056051,0.036992122,0.036931099,0.036872788,0.037012311,0.037158097,0.037297809,0.037431818,0.037560467,0.037684071,0.038067995,0.038044856,0.037558659,0.037090142,0.037211811,0.038046257,0.03837455,0.038525496,0.038516627,0.038508049,0.038499748,0.038491711,0.038483924,0.038476377,0.038469059,0.038461959,0.038455068,0.038448377,0.038441877,0.038468184,0.038530925,0.038591946,0.038651318,0.038709107,0.038765375,0.03879493,0.03879493,0.03879493,0.03879493,0.03879493,0.03879493,0.03879493,0.03879493,0.03879493,0.03879493,0.03879493,0.03879493,0.03879493,0.03879493,0.03879493,0.03879493,0.03879493,0.03879493,0.03879493,0.03879493,0.03879493,0.03879493,0.03879493,0.03879493,0.03879493,0.03879493,0.03879493,0.03879493,0.03879493,0.03879493,0.03879493,0.03879493,0.03879493,0.03879493,0.03879493,0.03879493,0.03879493,0.03879493,0.03879493,0.03879493,0.03879493,0.03879493,0.03879493,0.03879493
19620131,0.025182931,0.026791794,0.027611948,0.027914189,0.029068323,0.02983063,0.030412519,0.030848937,0.031611523,0.032530676,0.03328271,0.032648801,0.031602818,0.032396521,0.033084397,0.033357267,0.033350748,0.033344953,0.033602043,0.034074737,0.034502413,0.034750873,0.034870534,0.034980222,0.035203419,0.035523325,0.035819533,0.036093336,0.036347293,0.03658432,0.036818448,0.037049572,0.037266688,0.037524311,0.037808544,0.038076986,0.038184501,0.038148283,0.038113923,0.038150728,0.038239842,0.038324713,0.038405636,0.038482881,0.038556693,0.038627296,0.038694894,0.038759676,0.038821813,0.038881465,0.038938778,0.038755149,0.038391398,0.038041121,0.037858801,0.037854056,0.038976727,0.039490026,0.039537943,0.039584264,0.039629065,0.039672422,0.039714402,0.03975507,0.039794486,0.039832709,0.03986979,0.039905781,0.039940728,0.039950566,0.039941143,0.039931981,0.039923071,0.039914401,0.039905962,0.039902287,0.039902287,0.039902287,0.039902287,0.039902287,0.039902287,0.039902287,0.039902287,0.039902287,0.039902287,0.039902287,0.039902287,0.039902287,0.039902287,0.039902287,0.039902287,0.039902287,0.039902287,0.039902287,0.039902287,0.039902287,0.039902287,0.039902287,0.039902287,0.039902287,0.039902287,0.039902287,0.039902287,0.039902287,0.039902287,0.039902287,0.039902287,0.039902287,0.039902287,0.039902287,0.039902287,0.039902287,0.039902287,0.039902287,0.039902287,0.039902287,0.039902287,0.039902287,0.039902287,0.039902287
19620228,0.024676532,0.026743474,0.027476131,0.028407442,0.02900551,0.02942857,0.030054776,0.030632098,0.03118648,0.031629986,0.031842852,0.031853532,0.03186257,0.031870317,0.031697355,0.031363532,0.031068981,0.031069271,0.031396021,0.031690096,0.0319052,0.032048047,0.032178472,0.032469455,0.032953536,0.033400381,0.033737036,0.033969112,0.034185184,0.034320285,0.034361973,0.034401056,0.034476501,0.034588234,0.034693581,0.034748278,0.034742709,0.034737432,0.034866979,0.035132171,0.035384426,0.035624669,0.035853738,0.036072395,0.036281333,0.036481188,0.036672537,0.036855914,0.037031807,0.037200663,0.037135267,0.036830527,0.036537287,0.036434081,0.036565925,0.03669306,0.036802393,0.036893751,0.036982013,0.037067333,0.037149855,0.037229715,0.03730704,0.037381949,0.037454552,0.037524956,0.037593258,0.037659551,0.037767989,0.037920385,0.038068489,0.038212479,0.038352524,0.038488783,0.038558193,0.038558193,0.038558193,0.038558193,0.038558193,0.038558193,0.038558193,0.038558193,0.038558193,0.038558193,0.038558193,0.038558193,0.038558193,0.038558193,0.038558193,0.038558193,0.038558193,0.038558193,0.038558193,0.038558193,0.038558193,0.038558193,0.038558193,0.038558193,0.038558193,0.038558193,0.038558193,0.038558193,0.038558193,0.038558193,0.038558193,0.038558193,0.038558193,0.038558193,0.038558193,0.038558193,0.038558193,0.038558193,0.038558193,0.038558193,0.038558193,0.038558193,0.038558193,0.038558193,0.038558193,0.038558193
19620330,0.027140539,0.027532382,0.027973835,0.028431489,0.028717243,0.029307542,0.029430163,0.02958516,0.029705713,0.029616228,0.029324365,0.029081146,0.028875345,0.02894279,0.029251783,0.029522151,0.029766816,0.029992001,0.030193483,0.03032238,0.030384025,0.030440066,0.030773789,0.031441586,0.03205596,0.032409591,0.032510722,0.032604629,0.032739474,0.032926584,0.033101623,0.033182799,0.033170537,0.033158996,0.033182398,0.033249046,0.033312092,0.033445786,0.03365196,0.033847826,0.034034138,0.034211577,0.034380764,0.03454226,0.034696578,0.034844187,0.034985515,0.035120954,0.035250865,0.035250778,0.035116002,0.03498641,0.034382656,0.033172891,0.034565116,0.035414823,0.03552831,0.035637884,0.035743744,0.035846074,0.03594505,0.036040833,0.036133575,0.036223419,0.036310498,0.036394939,0.036476859,0.03654571,0.036600999,0.036654709,0.036706906,0.036757653,0.03680701,0.036861691,0.036922148,0.036981013,0.03703835,0.037094216,0.037148668,0.037201758,0.037253538,0.037304055,0.037353355,0.03740148,0.037448474,0.037494374,0.03753922,0.037583046,0.037625887,0.037667776,0.037708745,0.037748823,0.037788039,0.037826421,0.037863994,0.037900785,0.037936817,0.037972114,0.038006698,0.03804059,0.038073812,0.038106381,0.038138318,0.038169642,0.038200368,0.038230515,0.038260098,0.038289133,0.038317636,0.03834562,0.0383731,0.03840009,0.038425445,0.038425445,0.038425445,0.038425445,0.038425445,0.038425445,0.038425445,0.038425445
